200,10,,0.00,0.00,
230,20,,0.00,0.00,1650.00
400,30,,0.00,0.00,1350.00
410,40,,0.00,0.00,3000.00
420,50,,0.00,0.00,2200.00
420,60,,0.00,0.00,1850.00
340,70,,0.00,0.00,
300,80,,0.00,0.00,
350,90,,0.00,0.00,
350,100,,0.00,0.00,
210,110,,0.00,0.00,
10,200,,0.00,0.00,
310,200,,0.00,0.06,
200,210,,0.00,0.02,
220,210,,0.00,0.00,
110,210,,0.00,0.00,
210,220,,0.00,4.63,
230,220,,0.00,5.53,
330,220,,0.00,0.00,
20,230,,0.00,0.11,
400,230,,0.00,0.01,
220,230,,0.00,0.00,
80,300,,0.00,0.93,
350,300,,0.00,0.53,
300,310,,0.00,7.70,
200,310,,0.00,0.00,
310,320,,0.00,0.03,
320,330,,0.00,15.62,
220,330,,0.00,7.89,
440,330,,0.00,8.65,
330,340,,0.00,7.16,
70,340,,0.00,5.36,
340,350,,0.00,10.65,
90,350,,0.00,0.42,
300,350,,0.00,0.82,
100,350,,0.00,0.14,
30,400,,0.00,0.15,
410,400,,0.00,0.40,
230,400,,0.00,0.29,
400,410,,0.00,4.03,
40,410,,0.00,9.69,
420,410,,0.00,13.58,
410,420,,0.00,13.74,
50,420,,0.00,6.12,
60,420,,0.00,6.46,
440,420,,6.20,20.72,
420,440,,0.00,3.13,
330,440,,0.00,0.21,
